id,name,cat_id,category,sub_cat_id,subcategory,four_letter,four_letter_total_voted,enneagram,enneagram_total_voted,socionics,socionics_total_voted,instinctual_variant,instinctual_variant_total_voted,tritype,tritype_total_voted,temperaments,temperaments_total_voted,attitudinal_psyche,attitudinal_psyche_total_voted,big_5_SLOAN,big_5_SLOAN_total_voted,classic_jungian,classic_jungian_total_voted,letter_1,letter_1_percentage,letter_2,letter_2_percentage,letter_3,letter_3_percentage,letter_4,letter_4_percentage,four_letter_total_voted_binned
26393,Asahi (TREASURE),29,Kpop,1548,Kpop,INFP,160,9w1,50,EII,2,sp/sx,13,945.0,18,Phlegmatic [Dominant],15,ELFV,3,RCOAI,5,IF(N),1,I,0.99,N,0.94,F,0.61,P,0.98,50+
21546,Rebecca Sugar,16,The Arts,4456,Artists (Animators),INFP,154,4w5,53,EII,25,sp/so,16,496.0,18,Melancholic-Phlegmatic,20,EFLV,7,RCUAI,22,IF(N),4,I,0.85,N,0.96,F,0.99,P,0.95,50+
3271,Rainer Maria Rilke,16,The Arts,82,"Writers (Literature, Modern)",INFP,153,4w5,66,IEI,17,sx/sp,19,459.0,26,Melancholic [Dominant],27,ELVF,8,RLOAI,11,IN(F),3,I,1.0,N,0.98,F,0.95,P,0.52,50+
6405,Eddie Redmayne,1,Pop Culture,3424,Actors and Actresses (UK & Ireland),INFP,152,2w3,38,EII,7,so/sx,2,279.0,4,Sanguine-Melancholic,3,EVFL,1,SCOAI,2,IF(N),2,I,0.89,N,0.97,F,0.98,P,0.97,50+
6248,Henry David Thoreau,16,The Arts,3458,"Writers (Literature, Classic)",INFP,152,5w4,60,EII,17,sp/sx,20,541.0,19,Melancholic [Dominant],14,LEFV,6,RCUEI,7,IF(N),2,I,0.99,N,0.76,F,0.76,P,0.97,50+
24097,Jude Law,1,Pop Culture,3424,Actors and Actresses (UK & Ireland),INFP,151,2w1,37,IEI,10,sx/so,7,296.0,11,Sanguine-Phlegmatic,10,ELVF,2,SCOAI,6,EF(N),4,I,0.47,N,0.93,F,0.95,P,0.74,50+
959,Hans Christian Andersen,16,The Arts,3458,"Writers (Literature, Classic)",INFP,150,4w5,88,IEI,22,so/sx,40,495.0,21,Melancholic [Dominant],25,ELVF,22,RLUAI,14,IF(N),5,I,0.99,N,0.99,F,0.99,P,0.97,50+
42891,Younghoon (The Boyz),29,Kpop,1548,Kpop,INFP,149,4w5,66,IEI,11,so/sx,23,469.0,20,Phlegmatic [Dominant],18,ELVF,5,RLUAI,5,IF(N),1,I,0.99,N,0.89,F,0.98,P,0.85,50+
21969,Viktor Tsoi,14,Musician,1551,"European, Musicians",INFP,148,4w5,59,EII,11,sx/sp,20,459.0,22,Melancholic [Dominant],27,FVEL,15,RLUAI,11,IF(N),5,I,1.0,N,0.58,F,0.92,P,0.95,50+
429806,Jun Han (Xdinary Heroes),29,Kpop,1548,Kpop,INFP,145,6w5,35,ILI,4,sp/sx,15,649.0,14,Melancholic [Dominant],15,LVEF,6,RCOEI,6,IN(F),2,I,1.0,N,0.96,F,0.56,P,0.59,50+
117777,Taylor Tomlinson,1,Pop Culture,3850,Comedians,INFP,140,6w7,53,ESE,8,sp/sx,13,648.0,12,Melancholic-Sanguine,10,ELVF,5,RLUEI,7,IS(F),3,I,0.72,N,0.95,F,0.48,P,0.91,50+
49422,Yoñlu,14,Musician,10107,"Brazil, Musicians",INFP,139,4w5,89,IEI,18,so/sp,38,459.0,29,Melancholic [Dominant],34,ELVF,11,RLUAI,23,IF(N),11,I,1.0,N,0.99,F,0.56,P,0.96,50+
109010,Nam Joo-hyuk,1,Pop Culture,3427,Actors & Actresses (Asia),INFP,138,7w6,28,IEE,3,so/sx,3,649.0,8,Phlegmatic-Melancholic,6,EVLF,1,RCUAI,3,,0,I,0.7,N,0.9,F,0.95,P,0.86,50+
149977,Valentín Oliva (Wos),14,Musician,1601,"Latin American, Musicians",INFP,137,4w5,52,IEI,4,so/sx,17,497.0,10,Melancholic-Choleric,8,ELVF,4,RLUAI,4,IF(N),2,I,0.91,N,0.63,F,0.96,P,0.97,50+
8944,Kim Yugyeom (GOT7),29,Kpop,1548,Kpop,INFP,136,9w1,60,IEI,5,sx/sp,16,937.0,10,Phlegmatic-Sanguine,12,EVFL,3,RLUAI,13,,0,I,0.94,N,0.85,F,0.98,P,0.99,50+
34616,Giacomo Leopardi,16,The Arts,3458,"Writers (Literature, Classic)",INFP,136,4w5,82,IEI,12,sp/sx,27,451.0,28,Melancholic [Dominant],36,ELVF,15,RLOEI,12,IF(N),7,I,1.0,N,0.97,F,0.92,P,0.85,50+
